date,open,high,low,close,volume
2025-01-02,6.11,6.13,5.78,5.82,142505663.0
2025-01-03,5.84,5.88,5.75,5.76,86932470.0
2025-01-06,5.77,5.79,5.65,5.76,75611163.0
2025-01-07,5.75,5.78,5.68,5.75,60050078.0
2025-01-08,5.73,5.74,5.6,5.7,80915541.0
2025-01-09,5.69,5.72,5.62,5.64,48656874.0
2025-01-10,5.66,5.66,5.55,5.55,55166218.0
2025-01-13,5.51,5.58,5.47,5.55,48977700.0
2025-01-14,5.56,5.68,5.55,5.66,63225032.0
2025-01-15,5.65,5.68,5.62,5.63,45871007.0
2025-01-16,5.64,5.72,5.62,5.64,54385031.0
2025-01-17,5.65,5.69,5.58,5.66,48268634.0
2025-01-20,5.71,5.73,5.64,5.66,46525933.0
2025-01-21,5.66,5.69,5.6,5.61,44560058.0
2025-01-22,5.61,5.61,5.51,5.54,52561947.0
2025-01-23,5.57,5.67,5.57,5.59,63121371.0
2025-01-24,5.6,5.65,5.57,5.63,46677600.0
2025-01-27,5.63,5.69,5.63,5.65,53726576.0
2025-02-05,5.66,5.67,5.54,5.56,78476019.0
2025-02-06,5.55,5.61,5.53,5.61,63201790.0
2025-02-07,5.61,5.71,5.57,5.66,108548971.0
2025-02-10,5.65,5.72,5.65,5.69,74143965.0
2025-02-11,5.7,5.71,5.61,5.64,59396407.0
2025-02-12,5.63,5.66,5.59,5.66,60637760.0
2025-02-13,5.65,5.74,5.64,5.68,95389004.0
2025-02-14,5.69,5.72,5.63,5.7,60029794.0
2025-02-17,5.7,5.72,5.65,5.69,67686385.0
2025-02-18,5.68,5.71,5.63,5.63,76886886.0
2025-02-19,5.62,5.69,5.61,5.66,71327130.0
2025-02-20,5.64,5.65,5.54,5.56,102255124.0
2025-02-21,5.56,5.57,5.52,5.55,77110925.0
2025-02-24,5.55,5.75,5.53,5.69,168576946.0
2025-02-25,5.65,5.67,5.58,5.59,83464177.0
2025-02-26,5.59,5.71,5.59,5.65,86636503.0
2025-02-27,5.65,5.68,5.61,5.66,67535802.0
2025-02-28,5.65,5.72,5.62,5.64,127032819.0
2025-03-03,5.63,5.69,5.59,5.61,80087563.0
2025-03-04,5.61,5.61,5.55,5.58,73323519.0
2025-03-05,5.58,5.6,5.54,5.58,65710646.0
2025-03-06,5.59,5.63,5.55,5.61,80463030.0
2025-03-07,5.6,5.6,5.56,5.56,62109285.0
2025-03-10,5.56,5.57,5.49,5.51,87844712.0
2025-03-11,5.47,5.53,5.45,5.53,58432531.0
2025-03-12,5.52,5.55,5.49,5.52,61888634.0
2025-03-13,5.5,5.55,5.49,5.51,61920065.0
2025-03-14,5.52,5.63,5.51,5.62,116597295.0
2025-03-17,5.63,5.68,5.61,5.63,73317625.0
2025-03-18,5.65,5.67,5.6,5.62,47491915.0
2025-03-19,5.62,5.63,5.59,5.61,47180744.0
2025-03-20,5.61,5.65,5.59,5.61,60241532.0
2025-03-21,5.6,5.68,5.57,5.57,94404141.0
2025-03-24,5.57,5.63,5.52,5.55,61550197.0
2025-03-25,5.57,5.61,5.53,5.59,66984981.0
2025-03-26,5.6,5.65,5.57,5.63,83363040.0
2025-03-27,5.63,5.65,5.59,5.59,61737359.0
2025-03-28,5.59,5.6,5.53,5.56,51825288.0
2025-03-31,5.46,5.47,5.27,5.28,193801231.0
2025-04-01,5.28,5.34,5.27,5.31,86812429.0
2025-04-02,5.3,5.35,5.29,5.33,52505164.0
2025-04-03,5.31,5.39,5.3,5.36,66892476.0
2025-04-07,5.25,5.25,4.93,5.1,179583143.0
2025-04-08,5.09,5.39,5.08,5.37,186766975.0
2025-04-09,5.36,5.42,5.24,5.42,132492038.0
2025-04-10,5.46,5.46,5.35,5.43,99005876.0
2025-04-11,5.46,5.47,5.38,5.41,70560406.0
2025-04-14,5.41,5.42,5.37,5.38,53720798.0
2025-04-15,5.37,5.39,5.33,5.39,48676840.0
2025-04-16,5.39,5.45,5.31,5.45,91070360.0
2025-04-17,5.42,5.47,5.4,5.47,60804914.0
2025-04-18,5.45,5.49,5.42,5.46,50763260.0
2025-04-21,5.47,5.49,5.42,5.43,45500600.0
2025-04-22,5.43,5.45,5.41,5.43,41925351.0
2025-04-23,5.44,5.45,5.38,5.39,45754537.0
2025-04-24,5.39,5.4,5.35,5.38,36931803.0
2025-04-25,5.39,5.4,5.37,5.39,34660599.0
2025-04-28,5.38,5.38,5.33,5.33,37968779.0
2025-04-29,5.33,5.35,5.28,5.29,42178310.0
2025-04-30,5.29,5.31,5.26,5.27,45780200.0
2025-05-06,5.28,5.34,5.27,5.31,55263400.0
2025-05-07,5.37,5.38,5.32,5.36,63601100.0
2025-05-08,5.35,5.37,5.33,5.36,43292086.0
2025-05-09,5.35,5.36,5.32,5.32,41574443.0
2025-05-12,5.35,5.37,5.32,5.36,56091491.0
2025-05-13,5.38,5.46,5.36,5.43,96405720.0
2025-05-14,5.42,5.47,5.38,5.47,72584479.0
2025-05-15,5.46,5.5,5.41,5.44,53561331.0
2025-05-16,5.43,5.45,5.36,5.39,66089100.0
2025-05-19,5.36,5.4,5.36,5.38,35848022.0
2025-05-20,5.39,5.41,5.36,5.39,34821823.0
2025-05-21,5.4,5.42,5.39,5.4,35641793.0
2025-05-22,5.39,5.41,5.36,5.38,36772153.0
2025-05-23,5.38,5.39,5.33,5.33,42733286.0
2025-05-26,5.3,5.35,5.29,5.33,37872594.0
2025-05-27,5.33,5.34,5.3,5.31,29767526.0
2025-05-28,5.31,5.32,5.29,5.3,26464477.0
2025-05-29,5.31,5.36,5.29,5.34,40642554.0
2025-05-30,5.33,5.37,5.3,5.34,52965369.0
2025-06-03,5.31,5.36,5.3,5.36,40162732.0
2025-06-04,5.36,5.39,5.35,5.38,35717215.0
2025-06-05,5.38,5.4,5.32,5.35,65565903.0
2025-06-06,5.35,5.4,5.34,5.36,69586741.0
2025-06-09,5.36,5.37,5.32,5.33,75400766.0
2025-06-10,5.33,5.34,5.26,5.28,85215636.0
2025-06-11,5.28,5.35,5.27,5.32,92700549.0
2025-06-12,5.33,5.33,5.28,5.31,74330350.0
2025-06-13,5.3,5.34,5.27,5.31,163978302.0
2025-06-16,5.3,5.32,5.24,5.26,141492861.0
2025-06-17,5.26,5.29,5.24,5.29,78438033.0
2025-06-18,5.29,5.3,5.23,5.24,96788501.0
2025-06-19,5.23,5.24,5.15,5.17,75441974.0
2025-06-20,5.17,5.2,5.16,5.17,53159350.0
2025-06-23,5.16,5.24,5.13,5.22,75391584.0
2025-06-24,5.24,5.35,5.23,5.33,124155862.0
2025-06-25,5.33,5.38,5.3,5.37,97383121.0
2025-06-26,5.37,5.39,5.36,5.36,62947225.0
2025-06-27,5.38,5.42,5.35,5.36,76790775.0
2025-06-30,5.36,5.4,5.33,5.36,56007670.0
2025-07-01,5.36,5.36,5.33,5.33,41021632.0
2025-07-02,5.34,5.43,5.32,5.43,101434637.0
2025-07-03,5.43,5.44,5.39,5.41,48414601.0
2025-07-04,5.42,5.45,5.4,5.42,68189413.0
2025-07-07,5.42,5.45,5.4,5.44,54340701.0
2025-07-08,5.45,5.46,5.4,5.46,70622801.0
2025-07-09,5.45,5.58,5.44,5.51,125883335.0
2025-07-10,5.5,5.57,5.5,5.52,85274513.0
2025-07-11,5.54,5.64,5.53,5.54,139926591.0
2025-07-14,5.56,5.63,5.56,5.57,94474532.0
2025-07-15,5.57,5.59,5.51,5.54,77047873.0
2025-07-16,5.54,5.57,5.47,5.49,68147930.0
2025-07-17,5.51,5.52,5.47,5.5,56854607.0
2025-07-18,5.53,5.56,5.52,5.55,68379773.0
2025-07-21,5.74,5.83,5.64,5.8,294279779.0
2025-07-22,5.9,6.22,5.74,6.07,510322242.0
2025-07-23,6.11,6.14,5.83,5.83,347628377.0
2025-07-24,5.8,5.92,5.75,5.87,221806510.0
2025-07-25,5.85,5.85,5.73,5.74,178086575.0
2025-07-28,5.74,5.74,5.68,5.7,100912317.0
2025-07-29,5.68,5.71,5.63,5.69,134824656.0
2025-07-30,5.69,5.73,5.65,5.67,104194020.0
2025-07-31,5.66,5.67,5.58,5.6,119304459.0
2025-08-01,5.6,5.62,5.56,5.58,69989726.0
2025-08-04,5.56,5.59,5.56,5.58,61997774.0
2025-08-05,5.58,5.6,5.57,5.59,67454491.0
2025-08-06,5.59,5.6,5.57,5.59,65739322.0
2025-08-07,5.6,5.65,5.58,5.58,77291003.0
2025-08-08,5.58,5.65,5.58,5.64,98641248.0
2025-08-11,5.73,5.75,5.66,5.66,128053291.0
2025-08-12,5.67,5.69,5.62,5.63,94692505.0
2025-08-13,5.64,5.66,5.6,5.61,101660303.0
2025-08-14,5.61,5.66,5.56,5.57,123547520.0
2025-08-15,5.56,5.59,5.54,5.57,117325362.0
2025-08-18,5.58,5.64,5.57,5.58,155244750.0
2025-08-19,5.58,5.6,5.56,5.57,121151673.0
2025-08-20,5.56,5.59,5.54,5.59,95892010.0
2025-08-21,5.6,5.69,5.6,5.64,163527977.0
2025-08-22,5.64,5.69,5.6,5.69,159047570.0
2025-08-25,5.63,5.76,5.63,5.75,224887796.0
2025-08-26,5.74,5.74,5.69,5.71,112149106.0
2025-08-27,5.7,5.72,5.59,5.6,133635954.0
2025-08-28,5.58,5.62,5.52,5.61,136493454.0
2025-08-29,5.63,5.7,5.59,5.59,152242353.0
2025-09-01,5.57,5.59,5.53,5.55,123800565.0
2025-09-02,5.55,5.57,5.48,5.54,112202704.0
2025-09-03,5.54,5.55,5.46,5.5,94823398.0
2025-09-04,5.48,5.49,5.42,5.45,99645496.0
2025-09-05,5.46,5.48,5.43,5.47,70920375.0
