date,open,high,low,close,volume
2025-01-02,21.11,21.28,20.66,20.74,19614924.0
2025-01-03,20.74,21.21,20.73,20.81,21304725.0
2025-01-06,20.87,20.94,20.49,20.65,18096734.0
2025-01-07,20.65,20.94,20.46,20.94,16697853.0
2025-01-08,20.94,21.38,20.8,21.29,23166169.0
2025-01-09,21.18,21.32,20.95,21.13,11458231.0
2025-01-10,21.11,21.25,20.91,20.92,13133788.0
2025-01-13,20.8,21.32,20.8,20.9,13485631.0
2025-01-14,20.95,21.02,20.68,20.9,26056346.0
2025-01-15,20.9,21.7,20.78,21.2,40087642.0
2025-01-16,21.2,21.46,20.68,20.75,33826299.0
2025-01-17,20.71,21.16,20.51,21.04,20944982.0
2025-01-20,21.11,21.56,21.1,21.25,22462475.0
2025-01-21,21.26,21.33,20.79,21.2,20541130.0
2025-01-22,21.66,21.95,21.47,21.8,41370618.0
2025-01-23,21.91,22.05,21.61,21.72,27490709.0
2025-01-24,21.64,21.86,21.62,21.81,18024568.0
2025-01-27,21.81,22.09,21.73,21.83,19669060.0
2025-02-05,21.85,21.93,21.34,21.59,21941123.0
2025-02-06,21.6,21.7,21.41,21.64,18525866.0
2025-02-07,21.62,21.82,21.47,21.69,24762918.0
2025-02-10,21.69,21.86,21.47,21.51,23841083.0
2025-02-11,21.49,21.86,21.42,21.67,20296734.0
2025-02-12,21.67,21.68,21.5,21.6,14285743.0
2025-02-13,21.61,21.81,21.5,21.51,18767079.0
2025-02-14,21.47,21.56,21.25,21.3,19302373.0
2025-02-17,21.29,21.4,21.05,21.32,18875248.0
2025-02-18,21.28,21.32,20.92,20.92,17948912.0
2025-02-19,20.94,21.02,20.68,20.92,21935143.0
2025-02-20,20.92,21.17,20.88,21.08,14502096.0
2025-02-21,21.02,21.31,20.94,21.04,22603091.0
2025-02-24,21.06,21.39,20.96,21.0,20945253.0
2025-02-25,20.98,21.16,20.74,20.77,20392718.0
2025-02-26,20.77,20.84,20.69,20.8,14267087.0
2025-02-27,20.83,20.87,20.65,20.72,15287861.0
2025-02-28,20.76,20.84,20.49,20.53,20674057.0
2025-03-03,20.57,20.94,20.53,20.79,19254030.0
2025-03-04,20.71,21.08,20.66,20.95,14905412.0
2025-03-05,20.91,21.06,20.91,21.05,11789397.0
2025-03-06,21.05,21.12,20.89,21.06,20802896.0
2025-03-07,21.06,21.48,21.0,21.33,23924579.0
2025-03-10,21.31,21.46,21.02,21.11,16325041.0
2025-03-11,20.99,21.53,20.94,21.52,22895142.0
2025-03-12,21.53,21.58,21.17,21.25,19308698.0
2025-03-13,21.23,21.24,20.61,20.7,26740354.0
2025-03-14,20.68,20.92,20.56,20.91,18259771.0
2025-03-17,21.06,21.16,20.86,20.96,17832182.0
2025-03-18,20.97,21.31,20.91,21.3,24613620.0
2025-03-19,21.26,21.26,21.05,21.17,13829655.0
2025-03-20,21.13,21.17,20.95,20.95,13471694.0
2025-03-21,20.95,21.17,20.75,20.9,15006659.0
2025-03-24,20.9,20.95,20.7,20.81,17468869.0
2025-03-25,20.82,21.16,20.73,21.14,18683442.0
2025-03-26,21.11,21.37,21.07,21.23,15201506.0
2025-03-27,21.16,21.97,21.14,21.91,47749131.0
2025-03-28,21.82,22.11,21.56,21.91,27820834.0
2025-03-31,21.82,22.16,21.62,21.7,23697963.0
2025-04-01,21.71,22.1,21.53,21.77,24511063.0
2025-04-02,21.8,21.84,21.29,21.36,21297156.0
2025-04-03,21.28,21.31,20.92,21.03,21573451.0
2025-04-07,19.97,20.02,18.93,18.96,42926513.0
2025-04-08,19.09,19.71,19.08,19.49,33931589.0
2025-04-09,19.29,19.56,18.99,19.36,26241316.0
2025-04-10,19.77,20.09,19.56,19.91,24576707.0
2025-04-11,19.78,20.13,19.67,20.08,18151576.0
2025-04-14,20.2,20.49,20.02,20.42,19070805.0
2025-04-15,20.93,21.57,20.86,21.51,51161016.0
2025-04-16,21.33,21.4,20.96,21.14,29440692.0
2025-04-17,21.05,21.24,20.75,20.85,23249873.0
2025-04-18,20.86,20.94,20.76,20.89,11955880.0
2025-04-21,20.96,21.14,20.86,21.1,13441054.0
2025-04-22,21.04,21.51,21.01,21.38,21447008.0
2025-04-23,21.35,21.65,21.27,21.42,16450797.0
2025-04-24,21.53,21.82,21.43,21.65,20727166.0
2025-04-25,21.7,21.77,21.51,21.57,15674924.0
2025-04-28,21.63,21.77,21.54,21.63,13630805.0
2025-04-29,21.54,21.61,21.25,21.44,16947621.0
2025-04-30,21.42,21.51,21.25,21.44,15116943.0
2025-05-06,21.53,21.55,21.12,21.31,29149167.0
2025-05-07,21.45,21.6,21.32,21.43,18736971.0
2025-05-08,21.36,21.6,21.25,21.56,17330119.0
2025-05-09,21.56,21.66,21.35,21.42,12262231.0
2025-05-12,21.44,21.51,21.2,21.37,19103789.0
2025-05-13,21.44,21.9,21.4,21.77,30919940.0
2025-05-14,21.75,22.11,21.64,21.99,22010342.0
2025-05-15,21.96,22.15,21.83,22.07,18879132.0
2025-05-16,22.04,22.29,21.98,22.21,18451863.0
