date,open,high,low,close,volume
2025-01-02,14.87,15.14,14.67,14.85,199053077.0
2025-01-03,14.96,15.57,14.94,15.23,312488466.0
2025-01-06,15.34,15.51,14.99,15.15,225283187.0
2025-01-07,15.21,15.7,15.06,15.67,229893314.0
2025-01-08,15.67,15.82,15.39,15.5,176843669.0
2025-01-09,15.56,15.68,15.38,15.57,134299826.0
2025-01-10,15.74,15.98,15.52,15.8,195551711.0
2025-01-13,15.79,16.29,15.68,16.04,237723203.0
2025-01-14,15.93,16.12,15.7,16.05,180089819.0
2025-01-15,15.99,16.04,15.19,15.43,327946407.0
2025-01-16,15.68,15.94,15.68,15.82,220764301.0
2025-01-17,15.95,16.05,15.77,15.91,168269157.0
2025-01-20,15.89,16.03,15.72,15.93,144611527.0
2025-01-21,15.94,16.03,15.79,15.89,109108876.0
2025-01-22,16.0,16.03,15.7,15.84,128315220.0
2025-01-23,15.84,16.0,15.51,15.53,180804250.0
2025-01-24,15.66,15.77,15.46,15.67,137656329.0
2025-01-27,15.65,15.95,15.59,15.88,154794284.0
2025-02-05,16.23,16.36,15.95,16.11,206140590.0
2025-02-06,16.22,16.22,15.76,15.95,200162692.0
2025-02-07,15.99,16.29,15.81,16.26,216552808.0
2025-02-10,16.44,16.69,16.37,16.5,221206459.0
2025-02-11,16.67,17.19,16.55,16.9,292526186.0
2025-02-12,16.66,16.74,16.5,16.61,158201006.0
2025-02-13,16.71,16.82,16.61,16.64,127292194.0
2025-02-14,16.77,16.96,16.64,16.78,115526968.0
2025-02-17,16.34,16.34,16.05,16.14,238543986.0
2025-02-18,16.05,16.23,15.95,16.05,144998347.0
2025-02-19,16.15,16.25,15.93,15.99,156681707.0
2025-02-20,16.02,16.12,15.77,16.08,130081857.0
2025-02-21,16.12,16.2,15.78,15.84,206161074.0
2025-02-24,15.64,15.86,15.45,15.73,173586045.0
2025-02-25,15.71,15.78,15.4,15.43,155863280.0
2025-02-26,15.48,15.74,15.34,15.51,157544107.0
2025-02-27,15.52,15.52,15.27,15.4,136307172.0
